Column1
"国名,人口,画像URL,首都,通貨"
"南スーダン,11062100,images/南スーダン.png,ジュバ,南スーダン・ポンド"
"ドミニカ共和国,10739000,images/ドミニカ共和国.png,サントドミンゴ,ドミニカ・ペソ"
"チェコ,10689200,images/チェコ.jpg,プラハ,チェコ・コルナ"
"ギリシャ,10473500,images/ギリシャ.jpg,アテネ,ユーロ"
"ポルトガル,10226200,images/ポルトガル.jpg,リスボン,ユーロ"
"ヨルダン,10101700,images/ヨルダン.jpg,アンマン,ヨルダン・ディナール"
"アゼルバイジャン,10047700,images/アゼルバイジャン.png,バクー,マナト"
"スウェーデン,10036400,images/スウェーデン.jpg,ストックホルム,スウェーデン・クローナ"
"アラブ首長国連邦,9770500,images/アラブ首長国連邦.jpg,アブダビ,ディルハム"
"ホンジュラス,9746100,images/ホンジュラス.jpg,テグシガルパ,レンピラ"
"ハンガリー,9684700,images/ハンガリー.JPG,ブダペスト,フォリント"
"ベラルーシ,9452400,images/ベラルーシ.png,ミンスク,ベラルーシ・ルーブル"
"タジキスタン,9321000,images/タジキスタン.jpg,ドゥシャンベ,ソモニ"
"オーストリア,8955100,images/オーストリア.jpg,ウィーン,ユーロ"
"パプアニューギニア,8776100,images/パプアニューギニア.jpg,ポートモレスビー,キナ"
"セルビア,8772200,images/セルビア.jpg,ベオグラード,セルビア・ディナール"
"スイス,8591400,images/スイス.png,ベルン,スイス・フラン"
"イスラエル,8519400,images/イスラエル.png,エルサレム,イスラエル・シェケル"
"トーゴ,8082400,images/トーゴ.jpg,ロメ,西アフリカCFAフラン"
"シエラレオネ,7813200,images/シエラレオネ.jpeg,フリータウン,レオン"
"ラオス,7169500,images/ラオス.png,ビエンチャン,キープ"
"パラグアイ,7044600,images/パラグアイ.jpg,アスンシオン,グアラニー"
"ブルガリア,7000100,images/ブルガリア.jpg,ソフィア,レフ"
"レバノン,6855700,images/レバノン.jpg,ベイルート,レバノン・ポンド"
"リビア,6777500,images/リビア.png,トリポリ,リビア・ディナール"
"ニカラグア,6545500,images/ニカラグア.jpg,マナグア,コルドバ"
"エルサルバドル,6453600,images/エルサルバドル.png,サンサルバドル,米ドル"
"キルギス,6415900,images/キルギス.png,ビシュケク,ソム"
"トルクメニスタン,5942100,images/トルクメニスタン.png,アシガバート,マナト"
"デンマーク,5771900,images/デンマーク.png,コペンハーゲン,デンマーク・クローネ"
"シンガポール,5804300,images/シンガポール.jpg,シンガポール,シンガポール・ドル"
"フィンランド,5532200,images/フィンランド.jpg,ヘルシンキ,ユーロ"
"スロバキア,5457000,images/スロバキア.jpg,ブラチスラバ,ユーロ"
"コンゴ共和国,5380500,images/コンゴ共和国.png,ブラザヴィル,中央アフリカCFAフラン"
"ノルウェー,5378900,images/ノルウェー.jpg,オスロ,ノルウェー・クローネ"
"コスタリカ,5047600,images/コスタリカ.jpg,サンホセ,コスタリカ・コロン"
"パレスチナ,4981400,images/パレスチナ.png,ラマッラー,イスラエル・シェケル"
"オマーン,4975000,images/オマーン.png,マスカット,オマーン・リアル"
"リベリア,4937400,images/リベリア.jpg,モンロビア,リベリア・ドル"
"アイルランド,4882500,images/アイルランド.png,ダブリン,ユーロ"
"ニュージーランド,4783100,images/ニュージーランド.jpeg,ウェリントン,ニュージーランドドル"
"中央アフリカ,4745200,images/中央アフリカ.png,バンギ,中央アフリカCFAフラン"
"モーリタニア,4525700,images/モーリタニア.jpg,ヌアクショット,西アフリカCFAフラン"
"パナマ,4246400,images/パナマ.jpg,パナマシティ,バルボア"
"クウェート,4207100,images/クウェート.png,クウェートシティ,クウェート・ディナール"
"クロアチア,4130300,images/クロアチア.png,ザグレブ,ユーロ"
"モルドバ,4043300,images/モルドバ.jpg,キシナウ,モルドバ・レウ"
"ジョージア(旧名:グルジア),3996800,images/ジョージア.jpg,トビリシ,ラリ"
"エリトリア,3497100,images/エリトリア.jpeg,アスマラ,ナクファ"
"ウルグアイ,3461700,images/ウルグアイ.png,モンテビデオ,ウルグアイ・ペソ"
"ボスニア・ヘルツェゴビナ,3301000,images/ボスニア・ヘルツェゴビナ.jpg,サラエボ,兌換マルク"
"モンゴル,3225200,images/モンゴル.jpg,ウランバートル,トゥグルグ"
"アルメニア,2957700,images/アルメニア.png,エレバン,ドラム"
"ジャマイカ,2948300,images/ジャマイカ.png,キングストン,ジャマイカ・ドル"
"アルバニア,2880900,images/アルバニア.png,ティラナ,レク"
"カタール,2832100,images/カタール.png,ドーハ,カタール・リアル"
"リトアニア,2759600,images/リトアニア.png,ビリニュス,ユーロ"
"ナミビア,2494500,images/ナミビア.png,ウィントフック,ナミビア・ドル"
"ガンビア,2347700,images/ガンビア.jpg,バンジュール,ダラシ"
"ボツワナ,2303700,images/ボツワナ.png,ハボローネ,プラ"
"ガボン,2172600,images/ガボン.png,リーブルビル,中央アフリカCFAフラン"
"レソト,2125300,images/レソト.jpg,マセル,ロチ"
"北マケドニア,2083500,images/北マケドニア.jpg,スコピエ,マケドニア・デナル"
"スロベニア,2078700,images/スロベニア.jpeg,リュブリャナ,ユーロ"
"ギニアビサウ,1920900,images/ギニアビサウ.jpg,ビサウ,西アフリカCFAフラン"
"ラトビア,1906700,images/ラトビア.jpg,リガ,ユーロ"
"バーレーン,1641200,images/バーレーン.jpeg,マナーマ,バーレーン・ディナール"
"トリニダード・トバゴ,1395000,images/トリニダード・トバゴ.jpg,ポートオブスペイン,トリニダード・トバゴ・ドル"
"赤道ギニア,1356000,images/赤道ギニア.png,マラボ,中央アフリカCFAフラン"
"エストニア,1325600,images/エストニア.jpg,タリン,ユーロ"
"東ティモール,1293100,images/東ティモール.png,ディリ,米ドル"
"モーリシャス,1269700,images/モーリシャス.jpg,ポートルイス,モーリシャス・ルピー"
"キプロス,1198600,images/キプロス.jpg,ニコシア,ユーロ"
"エスワティニ,1148100,images/エスワティニ.jpg,ムババネ,リランゲニ"
"ジブチ,973600,images/ジブチ.jpg,ジブチ市,ジブチ・フラン"
"フィジー,890000,images/フィジー.jpeg,スバ,フィジー・ドル"
"コモロ,850900,images/コモロ.jpg,モロニ,コモロ・フラン"
"ガイアナ,782800,images/ガイアナ.png,ジョージタウン,ガイアナ・ドル"
"ブータン,763100,images/ブータン.JPG,ティンプー,ニュルタム"
